Date,Open,High,Low,Close,Adj Close,Volume
2014-03-27,2350.0,2387.5,2350.0,2350.0,1499.8878173828125,105750800
2014-03-28,2381.25,2400.0,2350.0,2362.5,1507.8662109375,376191600
2014-04-01,2393.75,2487.5,2393.75,2487.5,1587.6475830078125,268127600
2014-04-02,2500.0,2550.0,2493.75,2537.5,1619.559814453125,178996000
2014-04-03,2550.0,2575.0,2525.0,2575.0,1643.494140625,157111200
2014-04-04,2581.25,2587.5,2506.25,2531.25,1615.5709228515625,96803200
2014-04-07,2531.25,2568.75,2512.5,2562.5,1635.5159912109375,135627200
2014-04-08,2575.0,2575.0,2537.5,2562.5,1635.5159912109375,95152000
2014-04-09,2562.5,2562.5,2562.5,2562.5,1635.5159912109375,0
2014-04-10,2387.5,2437.5,2381.25,2412.5,1539.778564453125,450579200
2014-04-11,2400.0,2450.0,2387.5,2425.0,1547.7567138671875,184430400
2014-04-14,2418.75,2443.75,2418.75,2437.5,1555.7347412109375,142453200
2014-04-15,2450.0,2456.25,2437.5,2437.5,1555.7347412109375,76331600
2014-04-16,2456.25,2506.25,2450.0,2493.75,1591.63623046875,106918800
2014-04-17,2518.75,2525.0,2443.75,2462.5,1571.6910400390625,147078800
2014-04-21,2468.75,2468.75,2450.0,2456.25,1567.701904296875,38727200
2014-04-22,2468.75,2481.25,2431.25,2462.5,1571.6910400390625,115042000
2014-04-23,2462.5,2487.5,2456.25,2475.0,1579.6690673828125,80303200
2014-04-24,2456.25,2475.0,2450.0,2468.75,1575.68017578125,69398000
2014-04-25,2468.75,2500.0,2462.5,2475.0,1579.6690673828125,71704000
2014-04-28,2500.0,2500.0,2431.25,2437.5,1555.7347412109375,116084400
2014-04-29,2475.0,2475.0,2431.25,2450.0,1563.7127685546875,46608800
2014-04-30,2450.0,2462.5,2443.75,2456.25,1567.701904296875,93242400
2014-05-02,2475.0,2493.75,2462.5,2468.75,1575.68017578125,86257200
2014-05-05,2468.75,2487.5,2443.75,2462.5,1571.6910400390625,56014400
2014-05-06,2475.0,2475.0,2456.25,2468.75,1575.68017578125,21791600
2014-05-07,2462.5,2500.0,2462.5,2493.75,1591.63623046875,82346400
2014-05-08,2506.25,2512.5,2487.5,2506.25,1599.614501953125,43227200
2014-05-09,2525.0,2525.0,2487.5,2518.75,1607.5926513671875,48956000
2014-05-12,2525.0,2525.0,2493.75,2493.75,1591.63623046875,70641200
2014-05-13,2518.75,2518.75,2500.0,2518.75,1607.5926513671875,61065600
2014-05-14,2525.0,2587.5,2518.75,2581.25,1647.4830322265625,219808400
2014-05-16,2575.0,2650.0,2568.75,2650.0,1691.3629150390625,202264800
2014-05-19,2656.25,2706.25,2606.25,2656.25,1695.3519287109375,225986800
2014-05-20,2525.0,2662.5,2500.0,2525.0,1611.58154296875,210495200
2014-05-21,2537.5,2550.0,2506.25,2537.5,1619.559814453125,69045200
2014-05-22,2593.75,2606.25,2550.0,2593.75,1655.4613037109375,106400400
2014-05-23,2593.75,2606.25,2575.0,2593.75,1655.4613037109375,51238400
2014-05-26,2581.25,2612.5,2556.25,2581.25,1647.4830322265625,35746000
2014-05-28,2593.75,2600.0,2568.75,2593.75,1655.4613037109375,79694000
2014-05-30,2543.75,2593.75,2512.5,2543.75,1623.549072265625,247178400
2014-06-02,2550.0,2562.5,2531.25,2550.0,1627.5379638671875,76876800
2014-06-03,2550.0,2556.25,2518.75,2550.0,1627.5379638671875,126123600
2014-06-04,2537.5,2556.25,2525.0,2537.5,1619.559814453125,106749600
2014-06-05,2550.0,2550.0,2506.25,2550.0,1627.5379638671875,66263600
2014-06-06,2518.75,2543.75,2506.25,2518.75,1607.5926513671875,107951200
2014-06-09,2450.0,2543.75,2437.5,2450.0,1563.7127685546875,134515200
2014-06-10,2493.75,2493.75,2456.25,2493.75,1591.63623046875,148333200
2014-06-11,2487.5,2493.75,2462.5,2487.5,1587.6475830078125,98108000
2014-06-12,2481.25,2493.75,2462.5,2481.25,1583.6583251953125,104930800
2014-06-13,2481.25,2487.5,2462.5,2481.25,1583.6583251953125,82041200
2014-06-16,2462.5,2481.25,2437.5,2462.5,1571.6910400390625,61751200
2014-06-17,2475.0,2481.25,2443.75,2475.0,1579.6690673828125,60293600
2014-06-18,2468.75,2481.25,2462.5,2468.75,1575.68017578125,87876000
2014-06-19,2450.0,2481.25,2443.75,2450.0,1563.7127685546875,105030000
2014-06-20,2450.0,2468.75,2443.75,2450.0,1563.7127685546875,67474800
2014-06-23,2437.5,2468.75,2431.25,2437.5,1555.7347412109375,92584000
2014-06-24,2443.75,2456.25,2431.25,2443.75,1559.723876953125,62032400
2014-06-25,2437.5,2456.25,2425.0,2437.5,1555.7347412109375,103590400
2014-06-26,2462.5,2475.0,2437.5,2462.5,1571.6910400390625,149123600
2014-06-27,2412.5,2462.5,2406.25,2412.5,1539.778564453125,133020400
2014-06-30,2431.25,2431.25,2406.25,2431.25,1551.74560546875,80812800
2014-07-01,2456.25,2462.5,2425.0,2456.25,1567.701904296875,67317200
2014-07-02,2462.5,2468.75,2443.75,2462.5,1571.6910400390625,107994400
2014-07-03,2412.5,2468.75,2406.25,2412.5,1539.778564453125,177824000
2014-07-04,2418.75,2437.5,2412.5,2418.75,1543.767578125,70222800
2014-07-07,2481.25,2481.25,2431.25,2481.25,1583.6583251953125,255845600
2014-07-08,2537.5,2556.25,2493.75,2537.5,1619.559814453125,408720400
2014-07-09,2537.5,2537.5,2537.5,2537.5,1619.559814453125,0
2014-07-10,2618.75,2750.0,2593.75,2618.75,1671.41748046875,801523200
2014-07-11,2625.0,2625.0,2568.75,2625.0,1675.406494140625,186758800
2014-07-14,2625.0,2631.25,2587.5,2625.0,1675.406494140625,118788000
2014-07-15,2637.5,2643.75,2618.75,2637.5,1683.384765625,137040000
2014-07-16,2650.0,2675.0,2637.5,2650.0,1691.3629150390625,109010800
2014-07-17,2656.25,2668.75,2631.25,2656.25,1695.3519287109375,107004800
2014-07-18,2656.25,2675.0,2625.0,2656.25,1695.3519287109375,95748000
2014-07-21,2662.5,2687.5,2650.0,2662.5,1699.341064453125,127907200
