Date,Open,High,Low,Close,Adj Close,Volume
2014-03-04,2245.0,2260.0,2227.5,2252.5,1529.660400390625,53596000
2014-03-05,2275.0,2325.0,2275.0,2310.0,1568.7078857421875,91682800
2014-03-06,2315.0,2405.0,2312.5,2405.0,1633.222412109375,97145400
2014-03-07,2410.0,2437.5,2380.0,2412.5,1638.3155517578125,52552600
2014-03-10,2325.0,2420.0,2325.0,2420.0,1643.408447265625,45098600
2014-03-11,2400.0,2425.0,2395.0,2425.0,1646.8040771484375,23407800
2014-03-12,2415.0,2435.0,2362.5,2425.0,1646.8040771484375,40699600
2014-03-13,2422.5,2427.5,2395.0,2427.5,1648.5018310546875,45545600
2014-03-14,2395.0,2662.5,2395.0,2587.5,1757.156982421875,132356400
2014-03-17,2612.5,2650.0,2490.0,2575.0,1748.6683349609375,154709600
2014-03-18,2600.0,2600.0,2472.5,2525.0,1714.713623046875,95879400
2014-03-19,2525.0,2537.5,2462.5,2490.0,1690.9451904296875,58222600
2014-03-20,2475.0,2480.0,2377.5,2382.5,1617.9423828125,90222800
2014-03-21,2405.0,2412.5,2365.0,2400.0,1629.8267822265625,48480200
2014-03-24,2425.0,2450.0,2405.0,2405.0,1633.222412109375,52369600
2014-03-25,2400.0,2405.0,2387.5,2400.0,1629.8267822265625,23706800
2014-03-26,2402.5,2450.0,2402.5,2425.0,1646.8040771484375,53545800
2014-03-27,2445.0,2500.0,2437.5,2450.0,1663.78125,55257600
2014-03-28,2455.0,2492.5,2455.0,2480.0,1684.154296875,38084400
2014-04-01,2500.0,2600.0,2497.5,2575.0,1748.6683349609375,89207600
2014-04-02,2600.0,2662.5,2550.0,2575.0,1748.6683349609375,67725600
2014-04-03,2600.0,2612.5,2575.0,2612.5,1774.134521484375,39262400
2014-04-04,2625.0,2637.5,2537.5,2562.5,1740.179443359375,41255600
2014-04-07,2550.0,2612.5,2537.5,2575.0,1748.6683349609375,50960000
2014-04-08,2600.0,2600.0,2550.0,2600.0,1765.645751953125,65457600
2014-04-09,2600.0,2600.0,2600.0,2600.0,1765.645751953125,0
2014-04-10,2525.0,2525.0,2350.0,2455.0,1667.177001953125,117943400
2014-04-11,2415.0,2475.0,2415.0,2460.0,1670.5721435546875,58959800
2014-04-14,2470.0,2485.0,2462.5,2475.0,1680.7591552734375,52816000
2014-04-15,2492.5,2550.0,2492.5,2497.5,1696.038330078125,48353200
2014-04-16,2525.0,2537.5,2500.0,2512.5,1706.2247314453125,30589200
2014-04-17,2537.5,2550.0,2500.0,2525.0,1714.713623046875,45658400
2014-04-21,2550.0,2550.0,2525.0,2537.5,1723.2025146484375,14142000
2014-04-22,2512.5,2550.0,2500.0,2537.5,1723.2025146484375,22739400
2014-04-23,2550.0,2562.5,2525.0,2537.5,1723.2025146484375,31710200
2014-04-24,2512.5,2550.0,2500.0,2500.0,1697.7362060546875,23933000
2014-04-25,2500.0,2550.0,2500.0,2525.0,1714.713623046875,24552000
2014-04-28,2525.0,2537.5,2485.0,2485.0,1687.5498046875,68588200
2014-04-29,2440.0,2447.5,2402.5,2417.5,1691.296142578125,59589600
2014-04-30,2430.0,2432.5,2400.0,2407.5,1684.2999267578125,36245400
2014-05-02,2412.5,2425.0,2407.5,2412.5,1687.79833984375,32804000
2014-05-05,2412.5,2417.5,2372.5,2387.5,1670.3079833984375,27482600
2014-05-06,2412.5,2415.0,2387.5,2390.0,1672.056884765625,8118000
2014-05-07,2387.5,2417.5,2375.0,2410.0,1686.049072265625,40279200
2014-05-08,2415.0,2437.5,2400.0,2430.0,1700.041259765625,41312000
2014-05-09,2435.0,2435.0,2422.5,2432.5,1701.7901611328125,24937800
2014-05-12,2437.5,2440.0,2422.5,2427.5,1698.292236328125,30736600
2014-05-13,2437.5,2437.5,2415.0,2435.0,1703.5389404296875,22337400
2014-05-14,2435.0,2482.5,2432.5,2480.0,1735.021484375,152903400
